Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Veteran Status","Civilian population 18 years and over","580,219","(+/-3,295)","611,506","(+/-8,068)","559,924","(+/-4,034)","612,575","(+/-7,511)","597,531","(+/-6,888)","609,396","(+/-9,258)","623,038","(+/-3,907)","590,443","(+/-7,747)","562,480","(+/-6,388)","607,079","(+/-5,608)","633,029","(+/-2,400)","602,897","(+/-9,769)","614,715","(+/-7,249)","602,358","(+/-8,945)"
People,"Veteran Status","Civilian veterans","51,823","(+/-3,484)","32,757","(+/-3,113)","66,616","(+/-3,770)","29,881","(+/-3,392)","37,142","(+/-3,040)","40,691","(+/-3,896)","62,122","(+/-3,218)","36,545","(+/-2,882)","55,889","(+/-3,722)","37,761","(+/-3,285)","47,613","(+/-4,087)","27,014","(+/-3,069)","50,969","(+/-3,596)","38,617","(+/-3,475)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","726,007","(+/-3,873)","769,213","(+/-10,546)","718,297","(+/-4,124)","776,518","(+/-10,239)","737,119","(+/-8,840)","772,231","(+/-12,517)","774,729","(+/-5,857)","762,320","(+/-10,753)","729,610","(+/-9,355)","772,593","(+/-7,731)","755,192","(+/-2,362)","758,674","(+/-12,845)","793,383","(+/-9,672)","777,322","(+/-12,634)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","127,614","(+/-6,832)","74,813","(+/-5,196)","122,067","(+/-6,352)","74,378","(+/-6,130)","114,051","(+/-5,520)","104,132","(+/-7,202)","124,382","(+/-5,926)","100,140","(+/-4,892)","101,220","(+/-6,115)","99,130","(+/-6,066)","122,263","(+/-6,768)","71,746","(+/-4,882)","107,733","(+/-7,660)","99,101","(+/-5,617)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","159,948","(+/-2,660)","163,327","(+/-6,075)","166,790","(+/-1,929)","169,368","(+/-5,191)","147,861","(+/-4,666)","168,740","(+/-6,503)","159,192","(+/-3,494)","182,451","(+/-5,279)","170,921","(+/-5,335)","170,786","(+/-3,907)","131,682","(+/-1,561)","159,030","(+/-6,265)","188,437","(+/-4,988)","181,641","(+/-6,793)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,648","(+/-1,865)","5,621","(+/-1,642)","9,101","(+/-1,844)","8,088","(+/-2,659)","6,508","(+/-1,781)","7,900","(+/-1,773)","10,694","(+/-1,850)","8,014","(+/-1,667)","7,521","(+/-1,701)","7,704","(+/-1,663)","6,040","(+/-1,632)","4,007","(+/-1,159)","9,659","(+/-2,192)","4,575","(+/-1,255)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","411,156","(+/-3,082)","502,588","(+/-8,143)","414,640","(+/-3,892)","496,245","(+/-7,180)","443,981","(+/-6,696)","468,946","(+/-8,925)","449,123","(+/-3,834)","453,993","(+/-7,587)","427,614","(+/-6,444)","463,740","(+/-5,330)","436,113","(+/-2,561)","517,541","(+/-8,975)","477,523","(+/-6,621)","464,368","(+/-9,007)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","60,352","(+/-4,782)","38,194","(+/-4,193)","63,788","(+/-4,598)","37,203","(+/-3,913)","57,969","(+/-4,057)","52,480","(+/-5,301)","63,116","(+/-4,087)","50,493","(+/-3,692)","49,518","(+/-4,986)","46,143","(+/-4,421)","58,124","(+/-5,474)","40,590","(+/-4,168)","57,226","(+/-5,573)","51,798","(+/-4,870)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","154,903","(+/-2,154)","103,298","(+/-4,454)","136,867","(+/-1,865)","110,905","(+/-3,520)","145,277","(+/-3,004)","134,545","(+/-3,565)","166,414","(+/-2,083)","125,876","(+/-3,130)","131,075","(+/-2,938)","138,067","(+/-2,195)","187,397","(+/-2,157)","82,103","(+/-3,387)","127,423","(+/-3,897)","131,313","(+/-3,256)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","57,614","(+/-3,137)","30,998","(+/-3,102)","49,178","(+/-3,326)","29,087","(+/-2,852)","49,574","(+/-3,025)","43,752","(+/-3,464)","50,572","(+/-3,375)","41,633","(+/-2,673)","44,181","(+/-2,841)","45,283","(+/-3,080)","58,099","(+/-3,270)","27,149","(+/-2,667)","40,848","(+/-2,919)","42,728","(+/-2,639)"
People,"Residence 1 Year Ago","Population 1 year and over","739,919","(+/-4,401)","767,898","(+/-10,440)","762,221","(+/-3,478)","775,148","(+/-10,180)","738,226","(+/-8,630)","772,767","(+/-12,434)","782,994","(+/-6,381)","766,473","(+/-10,437)","754,159","(+/-8,901)","771,069","(+/-7,840)","759,250","(+/-2,992)","752,962","(+/-12,624)","799,616","(+/-9,879)","776,605","(+/-12,923)"
People,"Residence 1 Year Ago","Same house","656,317","(+/-9,470)","644,839","(+/-14,768)","641,305","(+/-10,220)","645,652","(+/-12,666)","650,191","(+/-10,220)","677,104","(+/-12,672)","677,711","(+/-9,113)","687,519","(+/-12,621)","659,310","(+/-11,250)","678,879","(+/-10,389)","677,580","(+/-6,672)","639,068","(+/-14,972)","719,697","(+/-12,563)","680,755","(+/-13,259)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","83,602","(+/-7,843)","123,059","(+/-12,269)","120,916","(+/-9,498)","129,496","(+/-11,280)","88,035","(+/-8,475)","95,663","(+/-10,321)","105,283","(+/-6,487)","78,954","(+/-8,918)","94,849","(+/-8,376)","92,190","(+/-8,902)","81,670","(+/-6,869)","113,894","(+/-9,382)","79,919","(+/-8,173)","95,850","(+/-9,422)"
People,"Residence 1 Year Ago","Different house in the U.S.","81,279","(+/-7,796)","117,641","(+/-11,841)","118,428","(+/-9,645)","119,189","(+/-11,165)","84,578","(+/-8,382)","89,889","(+/-10,054)","101,785","(+/-6,681)","74,194","(+/-8,703)","89,828","(+/-8,065)","90,034","(+/-9,104)","79,044","(+/-6,869)","106,774","(+/-9,533)","76,783","(+/-7,767)","88,994","(+/-9,491)"
People,"Residence 1 Year Ago","Same county","33,032","(+/-5,373)","58,076","(+/-7,672)","46,944","(+/-6,724)","48,328","(+/-7,675)","43,589","(+/-5,996)","46,012","(+/-7,747)","43,431","(+/-5,084)","28,890","(+/-5,187)","37,696","(+/-5,293)","41,831","(+/-6,720)","30,211","(+/-4,743)","49,935","(+/-6,339)","27,782","(+/-4,555)","48,735","(+/-7,938)"
People,"Residence 1 Year Ago","Different county","48,247","(+/-5,963)","59,565","(+/-7,302)","71,484","(+/-6,979)","70,861","(+/-8,482)","40,989","(+/-4,907)","43,877","(+/-6,342)","58,354","(+/-5,107)","45,304","(+/-6,645)","52,132","(+/-5,333)","48,203","(+/-7,257)","48,833","(+/-4,755)","56,839","(+/-7,960)","49,001","(+/-7,887)","40,259","(+/-5,286)"
People,"Residence 1 Year Ago","Same state","35,449","(+/-5,088)","30,032","(+/-5,508)","34,488","(+/-4,377)","35,856","(+/-5,508)","26,446","(+/-3,923)","30,235","(+/-5,120)","26,555","(+/-3,506)","28,923","(+/-5,024)","23,632","(+/-4,797)","21,962","(+/-4,700)","29,966","(+/-3,853)","23,103","(+/-3,793)","26,940","(+/-4,456)","21,106","(+/-3,960)"
People,"Residence 1 Year Ago","Different state","12,798","(+/-2,837)","29,533","(+/-5,697)","36,996","(+/-5,128)","35,005","(+/-6,043)","14,543","(+/-3,003)","13,642","(+/-3,295)","31,799","(+/-4,613)","16,381","(+/-3,287)","28,500","(+/-3,779)","26,241","(+/-5,082)","18,867","(+/-2,993)","33,736","(+/-6,539)","22,061","(+/-6,252)","19,153","(+/-4,173)"
People,"Residence 1 Year Ago",Abroad,"2,323",(+/-856),"5,418","(+/-2,090)","2,488",(+/-959),"10,307","(+/-2,354)","3,457","(+/-1,580)","5,774","(+/-2,792)","3,498","(+/-2,013)","4,760","(+/-2,570)","5,021","(+/-1,487)","2,156","(+/-1,103)","2,626","(+/-1,054)","7,120","(+/-2,422)","3,136","(+/-1,750)","6,856","(+/-2,276)"
Workers,"Employment Status","Population 16 years and over","604,554","(+/-3,630)","630,531","(+/-8,647)","623,475","(+/-3,466)","635,530","(+/-8,128)","618,437","(+/-7,526)","631,901","(+/-9,897)","653,525","(+/-4,754)","613,560","(+/-8,250)","612,224","(+/-6,617)","629,013","(+/-6,269)","650,204","(+/-2,678)","624,320","(+/-10,572)","641,736","(+/-7,748)","623,420","(+/-9,306)"
Workers,"Employment Status","In labor force","343,324","(+/-7,128)","449,298","(+/-9,710)","383,907","(+/-6,563)","433,796","(+/-9,045)","372,151","(+/-8,823)","404,970","(+/-8,402)","384,488","(+/-7,368)","382,926","(+/-8,855)","389,582","(+/-6,941)","394,114","(+/-7,549)","360,132","(+/-7,707)","456,826","(+/-10,023)","399,650","(+/-7,081)","400,660","(+/-8,171)"
Workers,"Employment Status","Civilian labor force","337,407","(+/-7,512)","448,603","(+/-9,792)","338,898","(+/-6,546)","432,125","(+/-8,993)","371,148","(+/-8,786)","403,903","(+/-8,414)","375,068","(+/-7,201)","382,207","(+/-8,815)","357,674","(+/-6,911)","393,371","(+/-7,592)","359,354","(+/-7,673)","455,970","(+/-10,014)","394,018","(+/-6,968)","400,160","(+/-8,162)"
Workers,"Employment Status",Employed,"318,435","(+/-7,565)","432,074","(+/-10,336)","319,807","(+/-6,303)","418,888","(+/-9,178)","357,261","(+/-8,788)","385,156","(+/-8,363)","357,196","(+/-7,152)","366,176","(+/-8,765)","340,788","(+/-7,411)","380,621","(+/-7,552)","347,889","(+/-8,324)","441,345","(+/-9,628)","379,194","(+/-7,454)","385,316","(+/-7,866)"
Workers,"Employment Status",Unemployed,"18,972","(+/-2,437)","16,529","(+/-2,906)","19,091","(+/-2,884)","13,237","(+/-2,067)","13,887","(+/-1,852)","18,747","(+/-3,213)","17,872","(+/-2,577)","16,031","(+/-2,660)","16,886","(+/-2,393)","12,750","(+/-2,454)","11,465","(+/-2,840)","14,625","(+/-2,742)","14,824","(+/-2,259)","14,844","(+/-2,647)"
Workers,"Employment Status","Armed Forces","5,917","(+/-1,426)",695,(+/-552),"45,009","(+/-2,956)","1,671",(+/-926),"1,003",(+/-720),"1,067",(+/-795),"9,420","(+/-1,746)",719,(+/-354),"31,908","(+/-2,064)",743,(+/-690),778,(+/-565),856,(+/-513),"5,632","(+/-1,610)",500,(+/-380)
Workers,"Employment Status","Not in labor force","261,230","(+/-6,829)","181,233","(+/-7,956)","239,568","(+/-7,446)","201,734","(+/-6,360)","246,286","(+/-6,497)","226,931","(+/-7,369)","269,037","(+/-5,967)","230,634","(+/-6,869)","222,642","(+/-5,450)","234,899","(+/-6,865)","290,072","(+/-7,453)","167,494","(+/-8,090)","242,086","(+/-6,869)","222,760","(+/-7,489)"
Workers,"Employment Status","Civilian labor force","337,407","(+/-7,512)","448,603","(+/-9,792)","338,898","(+/-6,546)","432,125","(+/-8,993)","371,148","(+/-8,786)","403,903","(+/-8,414)","375,068","(+/-7,201)","382,207","(+/-8,815)","357,674","(+/-6,911)","393,371","(+/-7,592)","359,354","(+/-7,673)","455,970","(+/-10,014)","394,018","(+/-6,968)","400,160","(+/-8,162)"
Workers,"Employment Status","Unemployment Rate",5.6,(+/-0.7),3.7,(+/-0.7),5.6,(+/-0.8),3.1,(+/-0.5),3.7,(+/-0.5),4.6,(+/-0.8),4.8,(+/-0.7),4.2,(+/-0.7),4.7,(+/-0.7),3.2,(+/-0.6),3.2,(+/-0.8),3.2,(+/-0.6),3.8,(+/-0.6),3.7,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","316,267","(+/-7,212)","426,614","(+/-10,288)","357,676","(+/-6,404)","412,563","(+/-9,457)","349,693","(+/-8,620)","378,458","(+/-8,434)","358,692","(+/-7,264)","360,337","(+/-8,797)","365,941","(+/-7,405)","375,745","(+/-7,670)","340,727","(+/-8,480)","434,895","(+/-9,538)","380,167","(+/-7,786)","379,897","(+/-7,940)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","243,310","(+/-6,404)","275,003","(+/-10,055)","260,749","(+/-7,313)","256,238","(+/-9,132)","266,034","(+/-8,284)","293,625","(+/-8,660)","265,751","(+/-7,007)","263,464","(+/-8,023)","279,412","(+/-7,688)","281,536","(+/-7,496)","249,580","(+/-7,509)","239,802","(+/-9,675)","277,068","(+/-8,522)","282,929","(+/-8,052)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","35,955","(+/-4,256)","27,542","(+/-4,524)","33,709","(+/-3,784)","27,740","(+/-3,839)","34,925","(+/-3,969)","29,635","(+/-4,234)","29,745","(+/-2,824)","32,769","(+/-3,778)","33,491","(+/-3,454)","31,465","(+/-4,056)","32,357","(+/-3,844)","36,865","(+/-4,196)","32,041","(+/-3,782)","29,166","(+/-3,461)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",462,(+/-320),"4,013","(+/-1,340)",865,(+/-558),"6,984","(+/-1,859)","1,928",(+/-743),"1,365",(+/-911),"1,408",(+/-906),"1,026",(+/-689),575,(+/-484),"1,636","(+/-1,046)",557,(+/-405),"8,765","(+/-1,641)","1,483","(+/-1,379)","2,636",(+/-985)
Workers,"Commuting to Work",Walked,"4,477","(+/-1,686)","6,801","(+/-1,769)","11,828","(+/-2,333)","7,943","(+/-1,769)","6,141","(+/-1,460)","4,191","(+/-1,632)","4,854","(+/-1,245)","2,642",(+/-852),"12,481","(+/-1,629)","3,786","(+/-1,204)","9,008","(+/-2,031)","9,664","(+/-1,570)","3,508","(+/-1,322)","4,218","(+/-1,548)"
Workers,"Commuting to Work","Other means","6,946","(+/-1,842)","8,773","(+/-2,420)","6,262","(+/-1,545)","9,199","(+/-1,865)","4,477","(+/-1,225)","6,526","(+/-1,623)","5,498","(+/-1,001)","4,043",(+/-951),"4,901","(+/-1,282)","8,131","(+/-2,319)","4,810","(+/-1,544)","6,446","(+/-1,598)","5,618","(+/-1,820)","3,892","(+/-1,197)"
Workers,"Commuting to Work","Worked from home","25,117","(+/-3,355)","104,482","(+/-6,673)","44,263","(+/-3,833)","104,459","(+/-6,384)","36,188","(+/-3,682)","43,116","(+/-5,074)","51,436","(+/-4,778)","56,393","(+/-4,961)","35,081","(+/-3,318)","49,191","(+/-4,340)","44,415","(+/-4,164)","133,353","(+/-9,482)","60,449","(+/-5,090)","57,056","(+/-4,533)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.6,(+/-0.8),24.2,(+/-0.7),23.3,(+/-0.9),23.8,(+/-0.7),24.8,(+/-1.0),24.9,(+/-0.9),24.5,(+/-0.7),29.2,(+/-0.8),24.4,(+/-0.7),24.0,(+/-0.8),22.2,(+/-0.6),24.9,(+/-0.5),31.0,(+/-0.8),26.8,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","318,435","(+/-7,565)","432,074","(+/-10,336)","319,807","(+/-6,303)","418,888","(+/-9,178)","357,261","(+/-8,788)","385,156","(+/-8,363)","357,196","(+/-7,152)","366,176","(+/-8,765)","340,788","(+/-7,411)","380,621","(+/-7,552)","347,889","(+/-8,324)","441,345","(+/-9,628)","379,194","(+/-7,454)","385,316","(+/-7,866)"
Workers,Occupation,"Management, business, science, and arts occupations","101,654","(+/-5,310)","241,242","(+/-8,700)","126,484","(+/-5,030)","269,000","(+/-7,969)","127,797","(+/-6,388)","138,971","(+/-6,941)","147,094","(+/-6,570)","158,653","(+/-6,580)","130,953","(+/-5,680)","160,089","(+/-7,378)","139,117","(+/-6,317)","204,996","(+/-6,795)","162,041","(+/-6,528)","171,640","(+/-6,447)"
Workers,Occupation,"Service occupations","60,892","(+/-3,867)","56,643","(+/-4,497)","60,274","(+/-4,791)","46,677","(+/-4,624)","63,726","(+/-4,857)","58,513","(+/-5,928)","61,194","(+/-5,055)","53,191","(+/-4,362)","52,378","(+/-3,868)","54,775","(+/-5,325)","70,677","(+/-4,932)","56,779","(+/-4,745)","53,075","(+/-4,356)","55,798","(+/-4,491)"
Workers,Occupation,"Sales and office occupations","61,833","(+/-4,433)","79,989","(+/-5,734)","58,741","(+/-5,174)","57,524","(+/-4,541)","67,816","(+/-5,106)","80,547","(+/-5,578)","71,924","(+/-4,803)","70,581","(+/-5,340)","69,822","(+/-4,152)","71,290","(+/-5,025)","56,941","(+/-4,192)","88,411","(+/-5,201)","76,112","(+/-6,050)","72,503","(+/-5,243)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","36,011","(+/-3,451)","20,641","(+/-2,753)","31,002","(+/-3,420)","17,477","(+/-2,590)","34,168","(+/-3,696)","34,942","(+/-4,368)","35,435","(+/-3,584)","32,979","(+/-3,424)","30,577","(+/-3,276)","33,545","(+/-4,237)","41,787","(+/-3,527)","29,994","(+/-3,575)","42,274","(+/-3,758)","27,432","(+/-3,056)"
Workers,Occupation,"Production, transportation, and material moving occupations","58,045","(+/-4,756)","33,559","(+/-5,075)","43,306","(+/-3,590)","28,210","(+/-3,312)","63,754","(+/-5,314)","72,183","(+/-6,138)","41,549","(+/-3,473)","50,772","(+/-3,771)","57,058","(+/-4,236)","60,922","(+/-5,025)","39,367","(+/-3,614)","61,165","(+/-5,228)","45,692","(+/-4,149)","57,943","(+/-4,678)"
Workers,Industry,"Civilian employed population 16 years and over","318,435","(+/-7,565)","432,074","(+/-10,336)","319,807","(+/-6,303)","418,888","(+/-9,178)","357,261","(+/-8,788)","385,156","(+/-8,363)","357,196","(+/-7,152)","366,176","(+/-8,765)","340,788","(+/-7,411)","380,621","(+/-7,552)","347,889","(+/-8,324)","441,345","(+/-9,628)","379,194","(+/-7,454)","385,316","(+/-7,866)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","6,770","(+/-1,540)","3,069","(+/-1,980)","7,347","(+/-1,419)","1,313",(+/-694),"3,223","(+/-1,029)","2,788","(+/-1,153)","3,798","(+/-1,094)","4,001","(+/-1,084)","3,084",(+/-869),"2,712",(+/-904),"4,948","(+/-1,472)","1,111",(+/-552),"4,329","(+/-1,235)","2,012",(+/-861)
Workers,Industry,Construction,"24,649","(+/-2,733)","26,789","(+/-3,518)","21,393","(+/-2,758)","20,085","(+/-2,907)","24,217","(+/-3,050)","27,178","(+/-4,509)","32,383","(+/-3,616)","27,672","(+/-3,145)","23,985","(+/-2,329)","24,451","(+/-3,415)","32,502","(+/-3,509)","33,277","(+/-4,001)","37,381","(+/-4,074)","23,927","(+/-2,764)"
Workers,Industry,Manufacturing,"47,009","(+/-4,064)","37,596","(+/-3,708)","30,838","(+/-3,533)","39,618","(+/-3,950)","53,073","(+/-4,199)","59,055","(+/-5,248)","29,112","(+/-2,678)","43,540","(+/-3,986)","50,015","(+/-4,672)","56,936","(+/-4,143)","37,641","(+/-4,364)","32,516","(+/-3,619)","46,038","(+/-4,135)","51,086","(+/-3,986)"
Workers,Industry,"Wholesale trade","5,267","(+/-1,555)","8,587","(+/-2,368)","3,163",(+/-900),"5,887","(+/-1,709)","8,696","(+/-1,996)","9,646","(+/-1,610)","6,209","(+/-1,503)","6,991","(+/-1,717)","5,714","(+/-1,305)","8,793","(+/-1,788)","5,520","(+/-1,310)","7,068","(+/-1,423)","7,663","(+/-1,891)","8,175","(+/-1,653)"
Workers,Industry,"Retail trade","37,180","(+/-3,972)","39,326","(+/-4,263)","38,050","(+/-3,734)","34,617","(+/-3,605)","42,359","(+/-3,582)","49,152","(+/-4,013)","39,819","(+/-3,667)","39,606","(+/-3,601)","42,461","(+/-4,190)","44,064","(+/-4,699)","36,919","(+/-3,393)","41,789","(+/-4,357)","40,744","(+/-3,916)","41,856","(+/-4,057)"
Workers,Industry,"Transportation and warehousing, and utilities","15,883","(+/-2,434)","18,951","(+/-3,149)","16,680","(+/-2,705)","10,622","(+/-2,208)","20,939","(+/-2,761)","26,665","(+/-3,365)","19,288","(+/-2,317)","18,290","(+/-2,695)","19,534","(+/-2,393)","20,837","(+/-2,676)","14,012","(+/-2,199)","36,128","(+/-4,844)","16,660","(+/-2,522)","27,129","(+/-3,664)"
Workers,Industry,Information,"3,437","(+/-1,070)","8,016","(+/-1,498)","3,044","(+/-1,164)","8,193","(+/-1,910)","3,963","(+/-1,192)","4,170","(+/-1,398)","6,895","(+/-1,473)","5,372","(+/-1,151)","4,114","(+/-1,296)","5,457","(+/-1,485)","3,324",(+/-846),"9,855","(+/-2,174)","6,658","(+/-1,467)","6,646","(+/-1,242)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","16,297","(+/-2,579)","37,610","(+/-4,215)","19,045","(+/-2,560)","27,455","(+/-2,911)","19,064","(+/-2,882)","25,411","(+/-2,734)","19,775","(+/-2,499)","38,191","(+/-3,444)","16,948","(+/-2,526)","24,607","(+/-3,090)","15,432","(+/-1,914)","55,886","(+/-4,473)","24,003","(+/-2,761)","37,103","(+/-3,069)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","24,950","(+/-2,992)","95,684","(+/-6,760)","28,656","(+/-2,952)","90,378","(+/-5,905)","33,566","(+/-3,429)","38,115","(+/-3,968)","46,067","(+/-4,170)","42,715","(+/-3,943)","31,158","(+/-2,863)","35,774","(+/-3,500)","39,893","(+/-3,296)","77,068","(+/-5,786)","50,358","(+/-4,450)","44,835","(+/-3,772)"
Workers,Industry,"Educational services, and health care and social assistance","72,977","(+/-4,479)","80,705","(+/-5,570)","78,199","(+/-4,555)","121,572","(+/-5,851)","80,403","(+/-4,389)","82,456","(+/-5,380)","84,794","(+/-5,130)","79,178","(+/-4,270)","82,084","(+/-4,920)","94,522","(+/-5,709)","82,652","(+/-4,910)","77,543","(+/-5,067)","78,812","(+/-4,318)","79,488","(+/-5,164)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","29,499","(+/-3,568)","34,299","(+/-3,874)","34,200","(+/-3,688)","27,360","(+/-3,240)","33,810","(+/-3,869)","31,273","(+/-3,875)","36,206","(+/-4,267)","29,492","(+/-3,503)","29,683","(+/-3,218)","28,119","(+/-3,896)","45,903","(+/-4,589)","36,980","(+/-4,004)","25,962","(+/-3,090)","31,381","(+/-3,304)"
Workers,Industry,"Other services, except public administration","13,924","(+/-2,255)","19,913","(+/-3,011)","17,625","(+/-2,731)","17,314","(+/-2,548)","21,581","(+/-2,926)","19,804","(+/-2,904)","17,677","(+/-2,894)","16,500","(+/-2,091)","16,846","(+/-2,401)","21,054","(+/-2,699)","15,483","(+/-2,131)","22,849","(+/-3,400)","19,905","(+/-2,751)","18,692","(+/-2,417)"
Workers,Industry,"Public administration","20,593","(+/-3,014)","21,529","(+/-3,304)","21,567","(+/-2,451)","14,474","(+/-2,463)","12,367","(+/-2,280)","9,443","(+/-1,942)","15,173","(+/-1,865)","14,628","(+/-2,224)","15,162","(+/-1,890)","13,295","(+/-2,101)","13,660","(+/-2,611)","9,275","(+/-1,934)","20,681","(+/-2,468)","12,986","(+/-1,961)"
Workers,"Class of Worker","Civilian employed population 16 years and over","318,435","(+/-7,565)","432,074","(+/-10,336)","319,807","(+/-6,303)","418,888","(+/-9,178)","357,261","(+/-8,788)","385,156","(+/-8,363)","357,196","(+/-7,152)","366,176","(+/-8,765)","340,788","(+/-7,411)","380,621","(+/-7,552)","347,889","(+/-8,324)","441,345","(+/-9,628)","379,194","(+/-7,454)","385,316","(+/-7,866)"
Workers,"Class of Worker","Private wage and salary workers","243,597","(+/-7,558)","353,062","(+/-10,311)","241,402","(+/-7,490)","333,346","(+/-10,249)","286,140","(+/-7,431)","324,671","(+/-9,460)","279,279","(+/-7,851)","300,477","(+/-7,934)","267,584","(+/-7,427)","312,665","(+/-7,816)","267,416","(+/-8,112)","377,889","(+/-10,745)","300,944","(+/-7,728)","322,185","(+/-8,397)"
Workers,"Class of Worker","Government workers","57,886","(+/-4,372)","56,675","(+/-4,956)","58,933","(+/-4,260)","64,457","(+/-4,630)","48,074","(+/-4,203)","39,689","(+/-3,709)","51,572","(+/-3,821)","45,897","(+/-3,764)","54,289","(+/-4,369)","47,020","(+/-4,396)","47,758","(+/-4,836)","39,996","(+/-3,615)","56,689","(+/-4,357)","41,947","(+/-3,776)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","16,214","(+/-2,352)","22,261","(+/-3,116)","18,826","(+/-2,945)","20,746","(+/-2,378)","22,543","(+/-2,888)","19,964","(+/-3,652)","25,613","(+/-2,988)","19,618","(+/-2,545)","18,165","(+/-2,514)","19,953","(+/-2,566)","32,239","(+/-3,545)","22,632","(+/-3,005)","21,075","(+/-2,947)","20,408","(+/-2,557)"
Workers,"Class of Worker","Unpaid family workers",738,(+/-519),76,(+/-125),646,(+/-332),339,(+/-331),504,(+/-466),832,(+/-577),732,(+/-377),184,(+/-195),750,(+/-686),983,(+/-686),476,(+/-280),828,(+/-629),486,(+/-331),776,(+/-484)
Housing,"Housing Occupancy","Total housing units","364,666","(+/-2,024)","352,313","(+/-4,971)","394,139","(+/-1,704)","338,973","(+/-3,933)","358,745","(+/-4,338)","336,351","(+/-5,439)","400,755","(+/-1,919)","313,888","(+/-4,179)","337,077","(+/-3,560)","348,778","(+/-2,968)","419,436","(+/-1,364)","353,828","(+/-5,238)","320,773","(+/-3,614)","339,455","(+/-4,539)"
Housing,"Housing Occupancy","Occupied housing units","311,068","(+/-3,772)","327,678","(+/-5,610)","315,102","(+/-4,686)","316,234","(+/-4,929)","310,766","(+/-6,185)","313,918","(+/-6,036)","332,620","(+/-5,022)","287,716","(+/-4,323)","306,503","(+/-4,109)","319,633","(+/-4,273)","316,961","(+/-6,084)","323,837","(+/-6,025)","299,083","(+/-5,038)","311,550","(+/-4,767)"
Housing,"Housing Occupancy","Vacant housing units","53,598","(+/-3,576)","24,635","(+/-3,865)","79,037","(+/-4,632)","22,739","(+/-3,279)","47,979","(+/-4,429)","22,433","(+/-3,444)","68,135","(+/-4,646)","26,172","(+/-2,645)","30,574","(+/-3,404)","29,145","(+/-3,330)","102,475","(+/-5,922)","29,991","(+/-3,687)","21,690","(+/-3,289)","27,905","(+/-2,922)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,(+/-0.4),0.5,(+/-0.4),1.3,(+/-0.6),0.8,(+/-0.4),0.6,(+/-0.4),0.9,(+/-0.4),1.1,(+/-0.4),0.9,(+/-0.4),0.9,(+/-0.4),0.8,(+/-0.4),5.3,(+/-1.2),0.9,(+/-0.5),0.6,(+/-0.3),0.6,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",4.0,(+/-1.1),7.9,(+/-1.8),9.2,(+/-1.9),6.2,(+/-1.8),3.4,(+/-1.2),4.1,(+/-1.3),10.4,(+/-1.9),5.4,(+/-1.6),5.7,(+/-1.2),4.8,(+/-1.4),9.5,(+/-2.3),7.8,(+/-1.3),4.3,(+/-1.7),3.8,(+/-1.2)
Housing,"Housing Tenure","Occupied housing units","311,068","(+/-3,772)","327,678","(+/-5,610)","315,102","(+/-4,686)","316,234","(+/-4,929)","310,766","(+/-6,185)","313,918","(+/-6,036)","332,620","(+/-5,022)","287,716","(+/-4,323)","306,503","(+/-4,109)","319,633","(+/-4,273)","316,961","(+/-6,084)","323,837","(+/-6,025)","299,083","(+/-5,038)","311,550","(+/-4,767)"
